chr14	37754522	37838829	+	MIPOL1	84307	4
chr5	40764615	40777688	-	PRKAA1	13073	10
chr17	44159806	44172067	-	KANSL1	12261	12
chr16	16218645	16219768	+	ABCC1	1123	12
chr19	13064969	13065340	-	GADD45GIP1	371	13
chr14	89041036	89044484	+	ZC3H14	3448	11
chr5	65284462	65290692	+	ERBB2IP	6230	1
chr2	207144263	207162097	+	ZDBF2	17834	3
chr9	5732387	5738538	+	KIAA1432	6151	8
chr13	49742748	49752790	+	FNDC3A	10042	4
chr5	137320945	137324004	-	FAM13B	3059	7
chr3	119219541	119222868	+	TIMMDC1	3327	6
chr9	115024714	115060196	-	PTBP3	35482	9
chr13	76134888	76143643	+	UCHL3	8755	9
chr2	15629017	15674765	-	NBAS	45748	9
chr10	69748419	69773943	-	HERC4	25524	3
chr15	85607600	85610435	+	PDE8A	2835	4
chr20	48256214	48257202	-	B4GALT5	988	12
chr10	69726439	69773943	-	HERC4	47504	11
chr8	25156459	25159970	+	DOCK5	3511	4
chr7	47474879	47481653	-	TNS3	6774	6
chr3	111632165	111632549	+	PHLDB2	384	7
chr1	153637695	153641033	-	ILF2	3338	2
chr12	27869223	27877119	+	MRPS35	7896	3
chr11	94554695	94564707	+	AMOTL1	10012	11
chr16	11647388	11650591	-	LITAF	3203	4
chr10	95140975	95148911	-	MYOF	7936	3
chr8	15508205	15531345	+	TUSC3	23140	13
chr7	135262543	135277940	+	NUP205	15397	9
chr12	110872705	110873022	-	ARPC3	317	7
chr1	6252989	6257816	-	RPL22	4827	2
chr7	5963017	5963593	+	CCZ1	576	11
chr12	54675873	54676084	+	HNRNPA1	211	15
chr4	139993019	139994721	-	ELF2	1702	4
chr7	65751497	65751696	+	TPST1	199	7
chr17	53016284	53024673	+	TOM1L1	8389	6
chr9	20819794	20823114	+	FOCAD	3320	4
chr11	110007387	110008139	+	ZC3H12C	752	5
chr1	78267015	78280916	+	FAM73A	13901	10
chr1	231090078	231097049	-	TTC13	6971	5
chr3	127413817	127414033	-	MGLL	216	3
chr19	11230767	11234020	+	LDLR	3253	4
chr5	109049220	109065214	+	MAN2A1	15994	8
chr16	89484691	89497734	-	ANKRD11	13043	10
chr3	27490141	27493989	-	SLC4A7	3848	6
chr4	170458959	170477246	-	NEK1	18287	15
chr12	108938914	108942990	-	SART3	4076	2
chr9	113734352	113735838	-	LPAR1	1486	2
chr17	43552465	43553092	-	PLEKHM1	627	2
chr3	183474315	183480067	+	YEATS2	5752	5
chr9	113703700	113735838	-	LPAR1	32138	6
chr20	44444179	44444552	+	UBE2C	373	14
